name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"a[21,19]",0.604163,0.00163205,0.371036,-0.0264383,0.61984,1.1863,51685.2,237.102,1.00004
"a[21,20]",1.06443,0.00144436,0.375515,0.455613,1.06007,1.68373,67593.3,310.079,1.00001
"a[22,1]",1.45778,0.00153032,0.409837,0.777258,1.46156,2.12177,71723.4,329.026,1
"a[22,2]",-0.142459,0.0017835,0.436056,-0.888223,-0.123721,0.541563,59777.4,274.225,1.00002
"a[22,3]",0.412427,0.00163179,0.370019,-0.208887,0.422867,0.99708,51418.8,235.88,1.00002
"a[22,4]",1.21445,0.00207583,0.448389,0.461525,1.22483,1.93337,46657.9,214.04,1.00002
"a[22,5]",0.518736,0.00179352,0.425983,-0.22979,0.548871,1.16427,56411.9,258.786,1.00006
"a[22,6]",0.871979,0.00143539,0.375609,0.253548,0.876802,1.48457,68475.3,314.126,1
"a[22,7]",1.49559,0.00192437,0.432244,0.815692,1.48044,2.23024,50452.1,231.445,1.00001
"a[22,8]",1.12202,0.00157512,0.402792,0.454838,1.12835,1.77358,65393.8,299.99,1
"a[22,9]",1.46843,0.00153997,0.415392,0.781698,1.47351,2.14162,72759.7,333.78,0.999999
"a[22,10]",1.17536,0.00156798,0.402537,0.501745,1.18552,1.82017,65906.6,302.342,1.00001
"a[22,11]",0.420938,0.00171038,0.393252,-0.258673,0.443747,1.02329,52863.8,242.509,1.00005
"a[22,12]",0.248329,0.00166252,0.38012,-0.417193,0.277598,0.816337,52276.8,239.816,1.00001
"a[22,13]",1.25725,0.00156185,0.405326,0.595115,1.2547,1.92441,67348.4,308.956,0.99999
"a[22,14]",0.628811,0.00171758,0.408762,-0.067765,0.646245,1.26989,56638.1,259.824,1.00002
"a[22,15]",0.591604,0.00163391,0.382742,-0.0526749,0.599692,1.20284,54872.6,251.724,1.00002
"a[22,16]",0.710519,0.00168287,0.402896,0.022991,0.727315,1.34236,57317.6,262.941,1.00002
"a[22,17]",1.59587,0.00175963,0.429332,0.911068,1.58377,2.31868,59531.1,273.095,0.999993
"a[22,18]",0.560674,0.00143272,0.364883,-0.0447221,0.563569,1.15059,64860.7,297.544,1.00002
"a[22,19]",0.598961,0.00162393,0.372519,-0.034236,0.615342,1.18041,52621.3,241.396,1.00003
"a[22,20]",1.06449,0.00144564,0.375973,0.456317,1.05986,1.68205,67638.6,310.287,1.00001
"a[23,1]",1.4603,0.00152788,0.410411,0.781215,1.46492,2.12623,72153.6,331,1.00001
"a[23,2]",-0.166635,0.00182661,0.441572,-0.920668,-0.148608,0.525143,58440.4,268.091,1.00001
"a[23,3]",0.407523,0.00161144,0.370657,-0.213954,0.419337,0.993029,52907.5,242.709,1.00001
"a[23,4]",1.22112,0.00208627,0.449925,0.466904,1.23128,1.94281,46509.2,213.358,1.00002
"a[23,5]",0.512828,0.00179402,0.428198,-0.24136,0.543575,1.16149,56968.7,261.34,1.00005
"a[23,6]",0.866523,0.00143842,0.376623,0.24313,0.871924,1.4773,68555.9,314.496,1
"a[23,7]",1.51638,0.00203154,0.440399,0.823536,1.50025,2.26868,46994,215.581,1
"a[23,8]",1.13513,0.00161778,0.404808,0.468675,1.1403,1.79134,62612,287.228,0.999997
"a[23,9]",1.46473,0.00154913,0.416237,0.776156,1.46994,2.13838,72194.8,331.189,1.00001
"a[23,10]",1.1761,0.00156621,0.403272,0.500576,1.18664,1.82108,66297.1,304.133,1.00001
"a[23,11]",0.415962,0.00172479,0.395662,-0.269474,0.439199,1.01996,52623.4,241.406,1.00004
"a[23,12]",0.244493,0.00166673,0.382605,-0.423952,0.273818,0.817293,52695.1,241.735,1.00002
"a[23,13]",1.26568,0.00157702,0.407045,0.603221,1.26262,1.93701,66620.8,305.618,0.99999
"a[23,14]",0.609116,0.00171853,0.414182,-0.0986402,0.628048,1.25353,58085.5,266.463,1.00003
"a[23,15]",0.602186,0.00165361,0.385133,-0.0448158,0.609366,1.22019,54244.6,248.843,1.00001
"a[23,16]",0.717362,0.00169172,0.40298,0.0312215,0.732772,1.35026,56742.4,260.302,1.00002
"a[23,17]",1.60103,0.00178178,0.432508,0.913576,1.58874,2.32423,58922.6,270.303,0.999994
"a[23,18]",0.553714,0.00143367,0.36583,-0.0537369,0.558807,1.14331,65111.4,298.694,1.00002
"a[23,19]",0.597597,0.00163126,0.373656,-0.0401121,0.613963,1.18074,52468.4,240.695,1.00003
"a[23,20]",1.06819,0.00145518,0.377638,0.456342,1.06421,1.69038,67347,308.95,1
"a[24,1]",1.46674,0.00152862,0.410909,0.78894,1.47073,2.13217,72258.7,331.482,1.00001
"a[24,2]",-0.197367,0.00187633,0.4504,-0.970251,-0.177995,0.506646,57620.7,264.331,1.00001
"a[24,3]",0.401949,0.00160383,0.371229,-0.2229,0.414875,0.986676,53575.8,245.775,1.00001
"a[24,4]",1.22477,0.00208132,0.450627,0.468904,1.23418,1.9495,46876.8,215.044,1.00002
"a[24,5]",0.510887,0.00178696,0.427936,-0.24029,0.540795,1.15945,57349.1,263.085,1.00006
"a[24,6]",0.864676,0.00144791,0.377655,0.239099,0.870731,1.47664,68031.6,312.09,1
"a[24,7]",1.52909,0.00209309,0.4452,0.830691,1.51288,2.29107,45241,207.54,1
"a[24,8]",1.14723,0.00163779,0.407008,0.47861,1.15068,1.8102,61757.4,283.308,1
"a[24,9]",1.46097,0.00156111,0.417697,0.770299,1.46578,2.13725,71590.9,328.418,1.00001
"a[24,10]",1.1797,0.00156925,0.40425,0.504968,1.19022,1.82755,66361.4,304.428,1.00001
"a[24,11]",0.412622,0.00170878,0.398279,-0.279495,0.43761,1.01977,54325.4,249.214,1.00005
"a[24,12]",0.240937,0.00166929,0.384625,-0.431914,0.270738,0.816665,53090.1,243.547,1.00002
"a[24,13]",1.26958,0.00157886,0.408806,0.603898,1.26645,1.94413,67042.3,307.552,0.99999
"a[24,14]",0.59498,0.0017298,0.418357,-0.124735,0.61654,1.24369,58493,268.332,1.00004
"a[24,15]",0.614438,0.00167306,0.38731,-0.0314289,0.619336,1.2429,53591.3,245.846,1
"a[24,16]",0.719725,0.00169175,0.40352,0.0330703,0.73507,1.35345,56892.5,260.99,1.00002
"a[24,17]",1.60217,0.00178917,0.433085,0.91476,1.58976,2.328,58593,268.791,0.999995
"a[24,18]",0.545548,0.00144175,0.367191,-0.0641315,0.55267,1.13774,64864.2,297.56,1.00002
"a[24,19]",0.597749,0.00162195,0.374616,-0.0389822,0.613812,1.18224,53345.3,244.718,1.00003
"a[24,20]",1.07112,0.00146571,0.379429,0.45719,1.06628,1.69772,67013.9,307.421,1.00001
"a[25,1]",1.4736,0.00152907,0.412073,0.795953,1.47715,2.14204,72625.8,333.166,1
"a[25,2]",-0.224887,0.00194377,0.459667,-1.0187,-0.203036,0.492762,55924,256.547,1.00002
"a[25,3]",0.392118,0.00159658,0.372404,-0.237775,0.406223,0.976969,54405.9,249.583,1.00001
"a[25,4]",1.22917,0.00212956,0.452304,0.472737,1.238,1.95822,45110.8,206.943,1.00001
"a[25,5]",0.512189,0.00177584,0.426555,-0.236405,0.541391,1.1605,57695.6,264.674,1.00005
"a[25,6]",0.857779,0.00144848,0.378848,0.228307,0.864659,1.47105,68407.4,313.814,1.00001
"a[25,7]",1.53481,0.00209715,0.447037,0.831171,1.51757,2.30109,45439.1,208.448,1.00001
"a[25,8]",1.16313,0.00167828,0.411177,0.489415,1.16357,1.83722,60024.8,275.36,0.999996
"a[25,9]",1.45597,0.00156834,0.419225,0.760612,1.4608,2.1323,71451.7,327.779,1.00001
"a[25,10]",1.17895,0.00157126,0.404948,0.50216,1.18972,1.82768,66420.7,304.7,1.00001
"a[25,11]",0.415766,0.00171074,0.399339,-0.279139,0.439713,1.02368,54490.1,249.97,1.00007
"a[25,12]",0.241602,0.00166587,0.385272,-0.433557,0.271242,0.820107,53487.3,245.369,1.00001
"a[25,13]",1.27269,0.00158377,0.41017,0.604074,1.2688,1.94902,67072,307.688,0.99999
"a[25,14]",0.586593,0.00173983,0.421158,-0.139879,0.608205,1.23838,58597.3,268.811,1.00006
"a[25,15]",0.628419,0.0017031,0.390995,-0.0155004,0.631074,1.26351,52706.5,241.787,1
