program,0,1,2,-1,3
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_466/hearts.stan,57.0,126.0,34.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_517/hearts.stan,66.0,148.0,31.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_269/hearts.stan,56.0,119.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_70/hearts.stan,65.0,131.0,22.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_167/hearts.stan,66.0,149.0,32.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_54/hearts.stan,65.0,131.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_64/hearts.stan,57.0,124.0,24.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_16/hearts.stan,64.0,127.0,22.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_475/hearts.stan,65.0,138.0,28.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_279/hearts.stan,33.0,115.0,31.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_302/hearts.stan,64.0,135.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_160/hearts.stan,68.0,146.0,31.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_474/hearts.stan,65.0,151.0,38.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_38/hearts.stan,64.0,133.0,26.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_443/hearts.stan,66.0,148.0,31.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_449/hearts.stan,66.0,143.0,31.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_395/hearts.stan,38.0,110.0,26.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_62/hearts.stan,65.0,137.0,26.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_332/hearts.stan,65.0,138.0,28.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_309/hearts.stan,65.0,153.0,38.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_436/hearts.stan,66.0,146.0,33.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_315/hearts.stan,65.0,150.0,36.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_325/hearts.stan,56.0,132.0,33.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_562/hearts.stan,66.0,149.0,36.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_547/hearts.stan,64.0,124.0,25.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_206/hearts.stan,47.0,119.0,26.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_433/hearts.stan,60.0,122.0,22.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_243/hearts.stan,64.0,138.0,26.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_296/hearts.stan,65.0,139.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_135/hearts.stan,67.0,134.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_345/hearts.stan,62.0,139.0,25.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_451/hearts.stan,61.0,126.0,22.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_85/hearts.stan,63.0,135.0,26.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_428/hearts.stan,64.0,127.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_329/hearts.stan,69.0,160.0,38.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_282/hearts.stan,64.0,135.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_109/hearts.stan,47.0,119.0,26.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_74/hearts.stan,67.0,135.0,26.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_69/hearts.stan,65.0,133.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_533/hearts.stan,32.0,105.0,28.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_170/hearts.stan,65.0,147.0,35.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_131/hearts.stan,57.0,120.0,22.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_318/hearts.stan,33.0,109.0,28.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_480/hearts.stan,61.0,123.0,25.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_509/hearts.stan,63.0,136.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_531/hearts.stan,66.0,164.0,43.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_387/hearts.stan,66.0,139.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_574/hearts.stan,67.0,144.0,33.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_421/hearts.stan,29.0,108.0,35.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_445/hearts.stan,47.0,111.0,22.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_416/hearts.stan,62.0,125.0,22.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_434/hearts.stan,47.0,113.0,22.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_281/hearts.stan,66.0,161.0,41.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_330/hearts.stan,65.0,138.0,28.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_58/hearts.stan,65.0,135.0,28.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_256/hearts.stan,64.0,127.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_575/hearts.stan,27.0,98.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_96/hearts.stan,64.0,127.0,22.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_235/hearts.stan,29.0,93.0,25.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_241/hearts.stan,65.0,147.0,33.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_600/hearts.stan,65.0,136.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_18/hearts.stan,65.0,131.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_307/hearts.stan,65.0,160.0,43.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_560/hearts.stan,66.0,164.0,47.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_41/hearts.stan,65.0,131.0,22.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_89/hearts.stan,65.0,135.0,28.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_471/hearts.stan,37.0,97.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_359/hearts.stan,66.0,148.0,31.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_159/hearts.stan,57.0,124.0,29.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_486/hearts.stan,44.0,123.0,25.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_511/hearts.stan,65.0,131.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_500/hearts.stan,36.0,100.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_245/hearts.stan,65.0,131.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_176/hearts.stan,65.0,137.0,26.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_338/hearts.stan,63.0,146.0,31.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_198/hearts.stan,65.0,146.0,33.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_95/hearts.stan,64.0,140.0,24.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_532/hearts.stan,65.0,138.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_292/hearts.stan,62.0,131.0,27.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_208/hearts.stan,29.0,92.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_219/hearts.stan,57.0,110.0,23.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_310/hearts.stan,65.0,146.0,37.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_404/hearts.stan,66.0,151.0,33.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_238/hearts.stan,64.0,149.0,33.0,1.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_178/hearts.stan,65.0,136.0,27.0,1.0,0.0
