program,0_-2,0_-3,0_-1,1_-3,1_-2,1_-1,-1_-2,0_-4,1_-4,-1_-3,1_-5,2_-4,0_-5,-1_-4
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_13/hearts.stan,16.0,109.0,0.0,45.0,6.0,4.0,1.0,22.0,42.0,0.0,8.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_153/hearts.stan,18.0,107.0,0.0,44.0,6.0,4.0,1.0,22.0,38.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_391/hearts.stan,16.0,97.0,0.0,33.0,4.0,4.0,1.0,19.0,28.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_442/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,20.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_158/hearts.stan,15.0,104.0,0.0,41.0,6.0,4.0,1.0,19.0,28.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_566/hearts.stan,15.0,104.0,0.0,41.0,6.0,4.0,1.0,19.0,27.0,0.0,2.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_133/hearts.stan,17.0,106.0,0.0,42.0,5.0,4.0,1.0,17.0,28.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_349/hearts.stan,15.0,51.0,0.0,39.0,6.0,4.0,1.0,20.0,35.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_459/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,17.0,28.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_324/hearts.stan,15.0,107.0,0.0,40.0,6.0,4.0,1.0,19.0,31.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_144/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,20.0,32.0,0.0,5.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_482/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,20.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_386/hearts.stan,16.0,106.0,0.0,42.0,6.0,4.0,1.0,20.0,30.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_440/hearts.stan,19.0,43.0,0.0,47.0,6.0,4.0,1.0,19.0,32.0,0.0,4.0,0.0,0.0,0.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_225/hearts.stan,15.0,104.0,0.0,41.0,6.0,4.0,1.0,16.0,25.0,0.0,2.0,0.0,0.0,0.0
