program,0_-1_0,0_-1_-1,0_-2_-1,0_-3_-1,0_-2_0,1_-2_-1,1_-3_-1,1_-2_0,-1_-2_0,0_-3_0,1_-3_0,1_-4_-1,0_-4_0,0_-4_-1,-1_-3_0,1_-4_0,0_-3_1
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_428/hearts.stan,0.0,4.0,15.0,57.0,15.0,10.0,22.0,0.0,1.0,28.0,11.0,3.0,4.0,3.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_329/hearts.stan,0.0,4.0,15.0,55.0,23.0,12.0,36.0,0.0,1.0,38.0,17.0,5.0,10.0,8.0,0.0,8.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_282/hearts.stan,0.0,4.0,13.0,57.0,16.0,9.0,29.0,0.0,1.0,31.0,11.0,5.0,5.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_109/hearts.stan,0.0,4.0,15.0,40.0,16.0,10.0,26.0,0.0,1.0,32.0,11.0,5.0,5.0,5.0,0.0,5.0,18.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_74/hearts.stan,0.0,4.0,15.0,58.0,16.0,11.0,24.0,0.0,1.0,34.0,11.0,5.0,6.0,5.0,0.0,3.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_69/hearts.stan,0.0,4.0,15.0,56.0,15.0,10.0,26.0,0.0,1.0,32.0,11.0,4.0,6.0,5.0,0.0,5.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_533/hearts.stan,0.0,4.0,15.0,25.0,16.0,10.0,27.0,0.0,1.0,32.0,12.0,5.0,6.0,5.0,0.0,5.0,3.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_170/hearts.stan,0.0,4.0,15.0,58.0,17.0,10.0,33.0,0.0,1.0,34.0,14.0,3.0,8.0,6.0,0.0,9.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_131/hearts.stan,0.0,4.0,13.0,52.0,15.0,8.0,21.0,0.0,1.0,23.0,8.0,5.0,5.0,6.0,0.0,3.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_318/hearts.stan,0.0,4.0,15.0,25.0,18.0,11.0,28.0,0.0,1.0,33.0,12.0,3.0,6.0,5.0,0.0,7.0,3.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_480/hearts.stan,0.0,4.0,13.0,51.0,16.0,8.0,24.0,0.0,1.0,25.0,12.0,5.0,6.0,6.0,0.0,3.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_509/hearts.stan,0.0,4.0,15.0,57.0,15.0,10.0,25.0,0.0,1.0,31.0,11.0,5.0,6.0,5.0,0.0,6.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_531/hearts.stan,0.0,4.0,15.0,58.0,21.0,11.0,39.0,0.0,1.0,39.0,15.0,5.0,11.0,10.0,0.0,9.0,36.0
programs/mixture_mutants_5/progs20190621-210330237818/progs20190621-210330237818_prob_rand_387/hearts.stan,0.0,4.0,15.0,58.0,17.0,11.0,28.0,0.0,1.0,31.0,14.0,2.0,6.0,2.0,0.0,8.0,36.0
